geo,variable,action,n_leading,n_trailing,n_interior_interp
HU,road_eqs_carhab,forecast avant TimesFM (2 pt),0,2,0
HU,road_eqs_carmot,forecast avant TimesFM (2 pt),0,2,0
HU,sdg_07_11_1,forecast avant TimesFM (2 pt) + forecast arrière TimesFM (1 pt),1,2,0
HU,sdg_07_11_2,forecast avant TimesFM (2 pt) + forecast arrière TimesFM (1 pt),1,2,0
HU,sdg_07_11_3,forecast avant TimesFM (2 pt) + forecast arrière TimesFM (1 pt),1,2,0
HU,sdg_07_30_1,forecast avant TimesFM (2 pt),0,2,0
HU,sdg_07_30_2,forecast avant TimesFM (2 pt),0,2,0
HU,sdg_08_10_1,forecast avant TimesFM (2 pt),0,2,0
HU,sdg_08_10_2,forecast avant TimesFM (2 pt),0,2,0
IT,demo_r_d3dens,forecast avant TimesFM (2 pt),0,2,0
IT,diesel_price_ht,forecast arrière TimesFM (1 pt),1,0,0
IT,env_air_gge,forecast avant TimesFM (3 pt),0,3,0
IT,nrg_ind_ren,forecast avant TimesFM (2 pt),0,2,0
IT,road_eqs_carhab,forecast avant TimesFM (2 pt),0,2,0
IT,road_eqs_carmot,forecast avant TimesFM (2 pt),0,2,0
IT,sdg_07_11_1,forecast avant TimesFM (2 pt) + forecast arrière TimesFM (1 pt),1,2,0
IT,sdg_07_11_2,forecast avant TimesFM (2 pt) + forecast arrière TimesFM (1 pt),1,2,0
IT,sdg_07_11_3,forecast avant TimesFM (2 pt) + forecast arrière TimesFM (1 pt),1,2,0
IT,sdg_07_30_1,forecast avant TimesFM (2 pt),0,2,0
IT,sdg_07_30_2,forecast avant TimesFM (2 pt),0,2,0
IT,sdg_08_10_1,forecast avant TimesFM (2 pt),0,2,0
IT,sdg_08_10_2,forecast avant TimesFM (2 pt),0,2,0
LT,demo_r_d3dens,forecast avant TimesFM (2 pt),0,2,0
LT,diesel_price_ht,forecast arrière TimesFM (1 pt),1,0,0
LT,env_air_gge,forecast avant TimesFM (3 pt),0,3,0
LT,nrg_ind_ren,forecast avant TimesFM (2 pt),0,2,0
LT,road_eqs_carhab,forecast avant TimesFM (2 pt),0,2,0
LT,road_eqs_carmot,forecast avant TimesFM (2 pt) + forecast arrière TimesFM (9 pt),9,2,0
LT,sdg_07_11_1,forecast avant TimesFM (2 pt) + forecast arrière TimesFM (1 pt),1,2,0
LT,sdg_07_11_2,forecast avant TimesFM (2 pt) + forecast arrière TimesFM (1 pt),1,2,0
LT,sdg_07_11_3,forecast avant TimesFM (2 pt) + forecast arrière TimesFM (1 pt),1,2,0
LT,sdg_07_30_1,forecast avant TimesFM (2 pt),0,2,0
LT,sdg_07_30_2,forecast avant TimesFM (2 pt),0,2,0
LT,sdg_08_10_1,forecast avant TimesFM (2 pt),0,2,0
LT,sdg_08_10_2,forecast avant TimesFM (2 pt),0,2,0
LU,demo_r_d3dens,forecast avant TimesFM (2 pt),0,2,0
LU,diesel_price_ht,forecast arrière TimesFM (1 pt),1,0,0
LU,env_air_gge,forecast avant TimesFM (3 pt),0,3,0
LU,nrg_ind_ren,forecast avant TimesFM (2 pt),0,2,0
LU,road_eqs_carhab,forecast avant TimesFM (2 pt),0,2,0
LU,road_eqs_carmot,forecast avant TimesFM (2 pt),0,2,0
LU,sdg_07_11_1,forecast avant TimesFM (2 pt) + forecast arrière TimesFM (1 pt),1,2,0
LU,sdg_07_11_2,forecast avant TimesFM (2 pt) + forecast arrière TimesFM (1 pt),1,2,0
LU,sdg_07_11_3,forecast avant TimesFM (2 pt) + forecast arrière TimesFM (1 pt),1,2,0
LU,sdg_07_30_1,forecast avant TimesFM (2 pt),0,2,0
LU,sdg_07_30_2,forecast avant TimesFM (2 pt),0,2,0
LU,sdg_08_10_1,forecast avant TimesFM (2 pt),0,2,0
LU,sdg_08_10_2,forecast avant TimesFM (2 pt),0,2,0
LV,demo_r_d3dens,forecast avant TimesFM (2 pt),0,2,0
LV,diesel_price_ht,forecast arrière TimesFM (1 pt),1,0,0
LV,env_air_gge,forecast avant TimesFM (3 pt),0,3,0
LV,nrg_ind_ren,forecast avant TimesFM (2 pt),0,2,0
LV,road_eqs_carhab,forecast avant TimesFM (2 pt),0,2,0
LV,road_eqs_carmot,forecast avant TimesFM (2 pt),0,2,0
LV,sdg_07_11_1,forecast avant TimesFM (2 pt) + forecast arrière TimesFM (1 pt),1,2,0
LV,sdg_07_11_2,forecast avant TimesFM (2 pt) + forecast arrière TimesFM (1 pt),1,2,0
LV,sdg_07_11_3,forecast avant TimesFM (2 pt) + forecast arrière TimesFM (1 pt),1,2,0
LV,sdg_07_30_1,forecast avant TimesFM (2 pt),0,2,0
LV,sdg_07_30_2,forecast avant TimesFM (2 pt),0,2,0
LV,sdg_08_10_1,forecast avant TimesFM (2 pt),0,2,0
LV,sdg_08_10_2,forecast avant TimesFM (2 pt),0,2,0
MT,demo_r_d3dens,forecast avant TimesFM (2 pt),0,2,0
MT,diesel_price_ht,forecast arrière TimesFM (1 pt),1,0,0
MT,env_air_gge,forecast avant TimesFM (3 pt),0,3,0
MT,nrg_ind_ren,forecast avant TimesFM (2 pt),0,2,0
MT,road_eqs_carhab,forecast avant TimesFM (2 pt) + forecast arrière TimesFM (1 pt),1,2,0
MT,road_eqs_carmot,forecast avant TimesFM (2 pt) + forecast arrière TimesFM (1 pt),1,2,0
MT,sdg_07_11_1,forecast avant TimesFM (2 pt) + forecast arrière TimesFM (1 pt),1,2,0
MT,sdg_07_11_2,forecast avant TimesFM (2 pt) + forecast arrière TimesFM (1 pt),1,2,0
MT,sdg_07_11_3,forecast avant TimesFM (2 pt) + forecast arrière TimesFM (1 pt),1,2,0
MT,sdg_07_30_1,forecast avant TimesFM (2 pt),0,2,0
MT,sdg_07_30_2,forecast avant TimesFM (2 pt),0,2,0
MT,sdg_08_10_1,forecast avant TimesFM (2 pt),0,2,0
